wavelength,K_d,a,b
Jerlov I,,,
400,0.028,0.022,0.0062
425,0.022,0.017,0.00482
450,0.022,0.018,0.00381
475,0.021,0.019,0.00306
500,0.029,0.026,0.00249
525,0.049,0.046,0.00205
550,0.065,0.062,0.0017
575,0.085,0.082,0.00143
600,0.233,0.228,0.00122
625,0.302,0.295,0.00104
650,0.341,0.334,0.000899
675,0.444,0.434,0.000782
700,0.595,0.582,0.00685
Jerlov IA,,,
400,0.0356,0.0295,0.0092
425,0.0274,0.0225,0.00755
450,0.0264,0.0221,0.00631
475,0.0253,0.0216,0.00536
500,0.0316,0.0282,0.00461
525,0.0503,0.0468,0.00402
550,0.0658,0.0622,0.00354
575,0.0858,0.0821,0.00315
600,0.234,0.228,0.00283
625,0.303,0.295,0.00256
650,0.342,0.334,0.00234
675,0.445,0.435,0.00214
700,0.595,0.582,0.00198
Jerlov IB,,,
400,0.046,0.0331,0.0795
425,0.036,0.0246,0.0732
450,0.0342,0.0235,0.068
475,0.0325,0.0225,0.0635
500,0.0386,0.0287,0.0597
525,0.0572,0.0469,0.0565
550,0.0726,0.0623,0.0536
575,0.0926,0.0822,0.0511
600,0.241,0.2278,0.0488
625,0.31,0.296,0.0468
650,0.349,0.334,0.045
675,0.452,0.435,0.0434
700,0.602,0.582,0.042
Jerlov II,,,
400,0.0846,0.0355,0.616
425,0.0671,0.0257,0.555
450,0.062,0.0241,0.504
475,0.0579,0.0228,0.459
500,0.0641,0.288,0.421
525,0.0845,0.0469,0.387
550,0.0999,0.0622,0.358
575,0.12,0.0821,0.332
600,0.27,0.228,0.309
625,0.337,0.296,0.288
650,0.375,0.334,0.27
675,0.476,0.436,0.253
700,0.624,0.582,0.238
Jerlov III,,,
400,0.175,0.0615,1.69
425,0.14,0.0449,1.52
450,0.124,0.0388,1.38
475,0.11,0.0335,1.26
500,0.109,0.0358,1.152
525,0.129,0.0507,1.06
550,0.144,0.0646,0.98
575,0.164,0.0838,0.908
600,0.324,0.229,0.845
625,0.39,0.297,0.788
650,0.426,0.336,0.737
675,0.528,0.439,0.692
700,0.672,0.583,0.65
Jerlov IC,,,
400,0.34,0.227,0.63
425,0.236,0.147,0.567
450,0.179,0.105,0.514
475,0.139,0.077,0.469
500,0.12,0.064,0.429
525,0.121,0.068,0.395
550,0.129,0.076,0.365
575,0.146,0.092,0.338
600,0.317,0.236,0.314
625,0.395,0.304,0.293
650,0.439,0.344,0.274
675,0.568,0.455,0.257
700,0.721,0.586,0.242
Jerlov 3C,,,
400,0.648,0.388,1.83
425,0.439,0.236,1.65
450,0.319,0.154,1.5
475,0.24,0.105,1.36
500,0.197,0.081,1.25
525,0.187,0.078,1.15
550,0.187,0.082,1.06
575,0.201,0.095,0.985
600,0.38,0.239,0.916
625,0.456,0.307,0.855
650,0.498,0.346,0.8
675,5.934,4.733,3
700,4.659,3.668,2.83
Jerlov 5C,,,
400,1.02,0.66,2.28
425,0.729,0.437,2.06
450,0.535,0.297,1.87
475,0.401,0.204,1.71
500,0.319,0.151,1.56
525,0.277,0.127,1.44
550,0.255,0.117,1.33
575,0.252,0.119,1.23
600,6.75,5.36,3.73
625,5.53,4.34,3.53
650,2.42,1.78,2.87
675,1.52,1.05,2.55
700,1.02,0.66,2.28
Jerlov 7C,,,
400,1.59,1.03,4.02
425,1.21,0.753,3.63
450,0.924,0.542,3.3
475,0.71,0.388,3.01
500,0.56,0.29,2.76
525,0.47,0.233,2.54
550,0.409,0.195,2.35
575,0.371,0.175,2.18
600,0.527,0.301,2.03
625,0.6,0.367,1.89
650,0.635,0.403,1.77
675,0.815,0.559,1.66
700,0.874,0.621,1.56
Jerlov 9C,,,
400,2.48,1.613,5.36
425,1.97,1.242,4.84
450,1.56,0.943,4.39
475,1.24,0.709,4.01
500,1,0.543,3.67
525,0.826,0.43,3.38
550,0.696,0.348,3.12
575,0.603,0.291,2.89
600,0.72,0.39,2.69
625,0.763,0.436,2.51
650,0.775,0.456,2.35
675,0.945,0.604,2.2
700,0.99,0.651,2.07
